GENE	symbol	PATHWAY	NAME
1737	DLAT	hsa00020	Citrate cycle (TCA cycle)
1737	DLAT	hsa00620	Pyruvate metabolism
1737	DLAT	hsa01100	Metabolic pathways
1737	DLAT	hsa01200	Carbon metabolism
1738	DLD	hsa00010	Glycolysis / Gluconeogenesis
1738	DLD	hsa00020	Citrate cycle (TCA cycle)
1738	DLD	hsa00260	Glycine, serine and threonine metabolism
1738	DLD	hsa00280	Valine, leucine and isoleucine degradation
1738	DLD	hsa00310	Lysine degradation
1738	DLD	hsa00380	Tryptophan metabolism
1738	DLD	hsa00620	Pyruvate metabolism
1738	DLD	hsa00630	Glyoxylate and dicarboxylate metabolism
1738	DLD	hsa00640	Propanoate metabolism
1738	DLD	hsa01100	Metabolic pathways
1738	DLD	hsa01200	Carbon metabolism
2023	ENO1	hsa00010	Glycolysis / Gluconeogenesis
2023	ENO1	hsa01100	Metabolic pathways
2023	ENO1	hsa01200	Carbon metabolism
2023	ENO1	hsa01230	Biosynthesis of amino acids
2023	ENO1	hsa03018	RNA degradation
2023	ENO1	hsa04066	HIF-1 signaling pathway
2026	ENO2	hsa00010	Glycolysis / Gluconeogenesis
2026	ENO2	hsa01100	Metabolic pathways
2026	ENO2	hsa01200	Carbon metabolism
2026	ENO2	hsa01230	Biosynthesis of amino acids
2026	ENO2	hsa03018	RNA degradation
2026	ENO2	hsa04066	HIF-1 signaling pathway
2027	ENO3	hsa00010	Glycolysis / Gluconeogenesis
2027	ENO3	hsa01100	Metabolic pathways
2027	ENO3	hsa01200	Carbon metabolism
2027	ENO3	hsa01230	Biosynthesis of amino acids
2027	ENO3	hsa03018	RNA degradation
2027	ENO3	hsa04066	HIF-1 signaling pathway
217	ALDH2	hsa00010	Glycolysis / Gluconeogenesis
217	ALDH2	hsa00053	Ascorbate and aldarate metabolism
217	ALDH2	hsa00071	Fatty acid degradation
217	ALDH2	hsa00280	Valine, leucine and isoleucine degradation
217	ALDH2	hsa00310	Lysine degradation
217	ALDH2	hsa00330	Arginine and proline metabolism
217	ALDH2	hsa00340	Histidine metabolism
217	ALDH2	hsa00380	Tryptophan metabolism
217	ALDH2	hsa00410	beta-Alanine metabolism
217	ALDH2	hsa00561	Glycerolipid metabolism
217	ALDH2	hsa00620	Pyruvate metabolism
217	ALDH2	hsa01100	Metabolic pathways
218	ALDH3A1	hsa00010	Glycolysis / Gluconeogenesis
218	ALDH3A1	hsa00340	Histidine metabolism
218	ALDH3A1	hsa00350	Tyrosine metabolism
218	ALDH3A1	hsa00360	Phenylalanine metabolism
218	ALDH3A1	hsa00410	beta-Alanine metabolism
218	ALDH3A1	hsa00980	Metabolism of xenobiotics by cytochrome P450
218	ALDH3A1	hsa00982	Drug metabolism - cytochrome P450
218	ALDH3A1	hsa01100	Metabolic pathways
218	ALDH3A1	hsa05204	Chemical carcinogenesis
219	ALDH1B1	hsa00010	Glycolysis / Gluconeogenesis
219	ALDH1B1	hsa00053	Ascorbate and aldarate metabolism
219	ALDH1B1	hsa00071	Fatty acid degradation
219	ALDH1B1	hsa00280	Valine, leucine and isoleucine degradation
219	ALDH1B1	hsa00310	Lysine degradation
219	ALDH1B1	hsa00330	Arginine and proline metabolism
219	ALDH1B1	hsa00340	Histidine metabolism
219	ALDH1B1	hsa00380	Tryptophan metabolism
219	ALDH1B1	hsa00410	beta-Alanine metabolism
219	ALDH1B1	hsa00561	Glycerolipid metabolism
219	ALDH1B1	hsa00620	Pyruvate metabolism
219	ALDH1B1	hsa01100	Metabolic pathways
220	ALDH1A3	hsa00010	Glycolysis / Gluconeogenesis
220	ALDH1A3	hsa00340	Histidine metabolism
220	ALDH1A3	hsa00350	Tyrosine metabolism
220	ALDH1A3	hsa00360	Phenylalanine metabolism
220	ALDH1A3	hsa00410	beta-Alanine metabolism
220	ALDH1A3	hsa00980	Metabolism of xenobiotics by cytochrome P450
220	ALDH1A3	hsa00982	Drug metabolism - cytochrome P450
220	ALDH1A3	hsa01100	Metabolic pathways
220	ALDH1A3	hsa05204	Chemical carcinogenesis
2203	FBP1	hsa00010	Glycolysis / Gluconeogenesis
2203	FBP1	hsa00030	Pentose phosphate pathway
2203	FBP1	hsa00051	Fructose and mannose metabolism
2203	FBP1	hsa01100	Metabolic pathways
2203	FBP1	hsa01200	Carbon metabolism
2203	FBP1	hsa04152	AMPK signaling pathway
2203	FBP1	hsa04910	Insulin signaling pathway
2203	FBP1	hsa04922	Glucagon signaling pathway
221	ALDH3B1	hsa00010	Glycolysis / Gluconeogenesis
221	ALDH3B1	hsa00340	Histidine metabolism
221	ALDH3B1	hsa00350	Tyrosine metabolism
221	ALDH3B1	hsa00360	Phenylalanine metabolism
221	ALDH3B1	hsa00410	beta-Alanine metabolism
221	ALDH3B1	hsa00980	Metabolism of xenobiotics by cytochrome P450
221	ALDH3B1	hsa00982	Drug metabolism - cytochrome P450
221	ALDH3B1	hsa01100	Metabolic pathways
221	ALDH3B1	hsa05204	Chemical carcinogenesis
222	ALDH3B2	hsa00010	Glycolysis / Gluconeogenesis
222	ALDH3B2	hsa00340	Histidine metabolism
222	ALDH3B2	hsa00350	Tyrosine metabolism
222	ALDH3B2	hsa00360	Phenylalanine metabolism
222	ALDH3B2	hsa00410	beta-Alanine metabolism
222	ALDH3B2	hsa00980	Metabolism of xenobiotics by cytochrome P450
222	ALDH3B2	hsa00982	Drug metabolism - cytochrome P450
222	ALDH3B2	hsa01100	Metabolic pathways
222	ALDH3B2	hsa05204	Chemical carcinogenesis
223	ALDH9A1	hsa00010	Glycolysis / Gluconeogenesis
223	ALDH9A1	hsa00053	Ascorbate and aldarate metabolism
223	ALDH9A1	hsa00071	Fatty acid degradation
223	ALDH9A1	hsa00280	Valine, leucine and isoleucine degradation
223	ALDH9A1	hsa00310	Lysine degradation
223	ALDH9A1	hsa00330	Arginine and proline metabolism
223	ALDH9A1	hsa00340	Histidine metabolism
223	ALDH9A1	hsa00380	Tryptophan metabolism
223	ALDH9A1	hsa00410	beta-Alanine metabolism
223	ALDH9A1	hsa00561	Glycerolipid metabolism
223	ALDH9A1	hsa00620	Pyruvate metabolism
223	ALDH9A1	hsa01100	Metabolic pathways
224	ALDH3A2	hsa00010	Glycolysis / Gluconeogenesis
224	ALDH3A2	hsa00053	Ascorbate and aldarate metabolism
224	ALDH3A2	hsa00071	Fatty acid degradation
224	ALDH3A2	hsa00280	Valine, leucine and isoleucine degradation
224	ALDH3A2	hsa00310	Lysine degradation
224	ALDH3A2	hsa00330	Arginine and proline metabolism
224	ALDH3A2	hsa00340	Histidine metabolism
224	ALDH3A2	hsa00380	Tryptophan metabolism
224	ALDH3A2	hsa00410	beta-Alanine metabolism
224	ALDH3A2	hsa00561	Glycerolipid metabolism
224	ALDH3A2	hsa00620	Pyruvate metabolism
224	ALDH3A2	hsa01100	Metabolic pathways
226	ALDOA	hsa00010	Glycolysis / Gluconeogenesis
226	ALDOA	hsa00030	Pentose phosphate pathway
226	ALDOA	hsa00051	Fructose and mannose metabolism
226	ALDOA	hsa01100	Metabolic pathways
226	ALDOA	hsa01200	Carbon metabolism
226	ALDOA	hsa01230	Biosynthesis of amino acids
226	ALDOA	hsa04066	HIF-1 signaling pathway
229	ALDOB	hsa00010	Glycolysis / Gluconeogenesis
229	ALDOB	hsa00030	Pentose phosphate pathway
229	ALDOB	hsa00051	Fructose and mannose metabolism
229	ALDOB	hsa01100	Metabolic pathways
229	ALDOB	hsa01200	Carbon metabolism
229	ALDOB	hsa01230	Biosynthesis of amino acids
229	ALDOB	hsa04066	HIF-1 signaling pathway
230	ALDOC	hsa00010	Glycolysis / Gluconeogenesis
230	ALDOC	hsa00030	Pentose phosphate pathway
230	ALDOC	hsa00051	Fructose and mannose metabolism
230	ALDOC	hsa01100	Metabolic pathways
230	ALDOC	hsa01200	Carbon metabolism
230	ALDOC	hsa01230	Biosynthesis of amino acids
230	ALDOC	hsa04066	HIF-1 signaling pathway
2538	G6PC	hsa00010	Glycolysis / Gluconeogenesis
2538	G6PC	hsa00052	Galactose metabolism
2538	G6PC	hsa00500	Starch and sucrose metabolism
2538	G6PC	hsa01100	Metabolic pathways
2538	G6PC	hsa04068	FoxO signaling pathway
2538	G6PC	hsa04151	PI3K-Akt signaling pathway
2538	G6PC	hsa04152	AMPK signaling pathway
2538	G6PC	hsa04910	Insulin signaling pathway
2538	G6PC	hsa04920	Adipocytokine signaling pathway
2538	G6PC	hsa04922	Glucagon signaling pathway
2538	G6PC	hsa04931	Insulin resistance
2538	G6PC	hsa04973	Carbohydrate digestion and absorption
2597	GAPDH	hsa00010	Glycolysis / Gluconeogenesis
2597	GAPDH	hsa01100	Metabolic pathways
2597	GAPDH	hsa01200	Carbon metabolism
2597	GAPDH	hsa01230	Biosynthesis of amino acids
2597	GAPDH	hsa04066	HIF-1 signaling pathway
2597	GAPDH	hsa05010	Alzheimer disease
26330	GAPDHS	hsa00010	Glycolysis / Gluconeogenesis
26330	GAPDHS	hsa01100	Metabolic pathways
2645	GCK	hsa00010	Glycolysis / Gluconeogenesis
2645	GCK	hsa00052	Galactose metabolism
2645	GCK	hsa00500	Starch and sucrose metabolism
2645	GCK	hsa00520	Amino sugar and nucleotide sugar metabolism
2645	GCK	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis
2645	GCK	hsa01100	Metabolic pathways
2645	GCK	hsa01200	Carbon metabolism
2645	GCK	hsa04910	Insulin signaling pathway
2645	GCK	hsa04911	Insulin secretion
2645	GCK	hsa04917	Prolactin signaling pathway
2645	GCK	hsa04922	Glucagon signaling pathway
2645	GCK	hsa04930	Type II diabetes mellitus
2645	GCK	hsa04950	Maturity onset diabetes of the young
2645	GCK	hsa05230	Central carbon metabolism in cancer
2821	GPI	hsa00010	Glycolysis / Gluconeogenesis
2821	GPI	hsa00030	Pentose phosphate pathway
2821	GPI	hsa00500	Starch and sucrose metabolism
2821	GPI	hsa00520	Amino sugar and nucleotide sugar metabolism
2821	GPI	hsa01100	Metabolic pathways
2821	GPI	hsa01200	Carbon metabolism
3098	HK1	hsa00010	Glycolysis / Gluconeogenesis
3098	HK1	hsa00051	Fructose and mannose metabolism
3098	HK1	hsa00052	Galactose metabolism
3098	HK1	hsa00500	Starch and sucrose metabolism
3098	HK1	hsa00520	Amino sugar and nucleotide sugar metabolism
3098	HK1	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis
3098	HK1	hsa01100	Metabolic pathways
3098	HK1	hsa01200	Carbon metabolism
3098	HK1	hsa04066	HIF-1 signaling pathway
3098	HK1	hsa04910	Insulin signaling pathway
3098	HK1	hsa04930	Type II diabetes mellitus
3098	HK1	hsa04973	Carbohydrate digestion and absorption
3098	HK1	hsa05230	Central carbon metabolism in cancer
3099	HK2	hsa00010	Glycolysis / Gluconeogenesis
3099	HK2	hsa00051	Fructose and mannose metabolism
3099	HK2	hsa00052	Galactose metabolism
3099	HK2	hsa00500	Starch and sucrose metabolism
3099	HK2	hsa00520	Amino sugar and nucleotide sugar metabolism
3099	HK2	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis
3099	HK2	hsa01100	Metabolic pathways
3099	HK2	hsa01200	Carbon metabolism
3099	HK2	hsa04066	HIF-1 signaling pathway
3099	HK2	hsa04910	Insulin signaling pathway
3099	HK2	hsa04930	Type II diabetes mellitus
3099	HK2	hsa04973	Carbohydrate digestion and absorption
3099	HK2	hsa05230	Central carbon metabolism in cancer
3101	HK3	hsa00010	Glycolysis / Gluconeogenesis
3101	HK3	hsa00051	Fructose and mannose metabolism
3101	HK3	hsa00052	Galactose metabolism
3101	HK3	hsa00500	Starch and sucrose metabolism
3101	HK3	hsa00520	Amino sugar and nucleotide sugar metabolism
3101	HK3	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis
3101	HK3	hsa01100	Metabolic pathways
3101	HK3	hsa01200	Carbon metabolism
3101	HK3	hsa04066	HIF-1 signaling pathway
3101	HK3	hsa04910	Insulin signaling pathway
3101	HK3	hsa04930	Type II diabetes mellitus
3101	HK3	hsa04973	Carbohydrate digestion and absorption
3101	HK3	hsa05230	Central carbon metabolism in cancer
387712	ENO4	hsa00010	Glycolysis / Gluconeogenesis
387712	ENO4	hsa01100	Metabolic pathways
387712	ENO4	hsa01200	Carbon metabolism
387712	ENO4	hsa01230	Biosynthesis of amino acids
387712	ENO4	hsa03018	RNA degradation
387712	ENO4	hsa04066	HIF-1 signaling pathway
3939	LDHA	hsa00010	Glycolysis / Gluconeogenesis
3939	LDHA	hsa00270	Cysteine and methionine metabolism
3939	LDHA	hsa00620	Pyruvate metabolism
3939	LDHA	hsa00640	Propanoate metabolism
3939	LDHA	hsa01100	Metabolic pathways
3939	LDHA	hsa04066	HIF-1 signaling pathway
3939	LDHA	hsa04922	Glucagon signaling pathway
3939	LDHA	hsa05230	Central carbon metabolism in cancer
3945	LDHB	hsa00010	Glycolysis / Gluconeogenesis
3945	LDHB	hsa00270	Cysteine and methionine metabolism
3945	LDHB	hsa00620	Pyruvate metabolism
3945	LDHB	hsa00640	Propanoate metabolism
3945	LDHB	hsa01100	Metabolic pathways
3945	LDHB	hsa04066	HIF-1 signaling pathway
3945	LDHB	hsa04922	Glucagon signaling pathway
3945	LDHB	hsa05230	Central carbon metabolism in cancer
3948	LDHC	hsa00010	Glycolysis / Gluconeogenesis
3948	LDHC	hsa00270	Cysteine and methionine metabolism
3948	LDHC	hsa00620	Pyruvate metabolism
3948	LDHC	hsa00640	Propanoate metabolism
3948	LDHC	hsa01100	Metabolic pathways
3948	LDHC	hsa04066	HIF-1 signaling pathway
3948	LDHC	hsa04922	Glucagon signaling pathway
3948	LDHC	hsa05230	Central carbon metabolism in cancer
441531	PGAM4	hsa00010	Glycolysis / Gluconeogenesis
441531	PGAM4	hsa00260	Glycine, serine and threonine metabolism
441531	PGAM4	hsa01100	Metabolic pathways
441531	PGAM4	hsa01200	Carbon metabolism
441531	PGAM4	hsa01230	Biosynthesis of amino acids
441531	PGAM4	hsa04922	Glucagon signaling pathway
441531	PGAM4	hsa05230	Central carbon metabolism in cancer
501	ALDH7A1	hsa00010	Glycolysis / Gluconeogenesis
501	ALDH7A1	hsa00053	Ascorbate and aldarate metabolism
501	ALDH7A1	hsa00071	Fatty acid degradation
501	ALDH7A1	hsa00260	Glycine, serine and threonine metabolism
501	ALDH7A1	hsa00280	Valine, leucine and isoleucine degradation
501	ALDH7A1	hsa00310	Lysine degradation
501	ALDH7A1	hsa00330	Arginine and proline metabolism
501	ALDH7A1	hsa00340	Histidine metabolism
501	ALDH7A1	hsa00380	Tryptophan metabolism
501	ALDH7A1	hsa00410	beta-Alanine metabolism
501	ALDH7A1	hsa00561	Glycerolipid metabolism
501	ALDH7A1	hsa00620	Pyruvate metabolism
501	ALDH7A1	hsa01100	Metabolic pathways
5105	PCK1	hsa00010	Glycolysis / Gluconeogenesis
5105	PCK1	hsa00020	Citrate cycle (TCA cycle)
5105	PCK1	hsa00620	Pyruvate metabolism
5105	PCK1	hsa01100	Metabolic pathways
5105	PCK1	hsa03320	PPAR signaling pathway
5105	PCK1	hsa04068	FoxO signaling pathway
5105	PCK1	hsa04151	PI3K-Akt signaling pathway
5105	PCK1	hsa04152	AMPK signaling pathway
5105	PCK1	hsa04910	Insulin signaling pathway
5105	PCK1	hsa04920	Adipocytokine signaling pathway
5105	PCK1	hsa04922	Glucagon signaling pathway
5105	PCK1	hsa04931	Insulin resistance
5105	PCK1	hsa04964	Proximal tubule bicarbonate reclamation
5106	PCK2	hsa00010	Glycolysis / Gluconeogenesis
5106	PCK2	hsa00020	Citrate cycle (TCA cycle)
5106	PCK2	hsa00620	Pyruvate metabolism
5106	PCK2	hsa01100	Metabolic pathways
5106	PCK2	hsa03320	PPAR signaling pathway
5106	PCK2	hsa04068	FoxO signaling pathway
5106	PCK2	hsa04151	PI3K-Akt signaling pathway
5106	PCK2	hsa04152	AMPK signaling pathway
5106	PCK2	hsa04910	Insulin signaling pathway
5106	PCK2	hsa04920	Adipocytokine signaling pathway
5106	PCK2	hsa04922	Glucagon signaling pathway
5106	PCK2	hsa04931	Insulin resistance
5106	PCK2	hsa04964	Proximal tubule bicarbonate reclamation
5160	PDHA1	hsa00010	Glycolysis / Gluconeogenesis
5160	PDHA1	hsa00020	Citrate cycle (TCA cycle)
5160	PDHA1	hsa00620	Pyruvate metabolism
5160	PDHA1	hsa01100	Metabolic pathways
5160	PDHA1	hsa01200	Carbon metabolism
5160	PDHA1	hsa04066	HIF-1 signaling pathway
5160	PDHA1	hsa04922	Glucagon signaling pathway
5160	PDHA1	hsa05230	Central carbon metabolism in cancer
5161	PDHA2	hsa00010	Glycolysis / Gluconeogenesis
5161	PDHA2	hsa00020	Citrate cycle (TCA cycle)
5161	PDHA2	hsa00620	Pyruvate metabolism
5161	PDHA2	hsa01100	Metabolic pathways
5161	PDHA2	hsa01200	Carbon metabolism
5161	PDHA2	hsa04066	HIF-1 signaling pathway
5161	PDHA2	hsa04922	Glucagon signaling pathway
5161	PDHA2	hsa05230	Central carbon metabolism in cancer
5162	PDHB	hsa00010	Glycolysis / Gluconeogenesis
5162	PDHB	hsa00020	Citrate cycle (TCA cycle)
5162	PDHB	hsa00620	Pyruvate metabolism
5162	PDHB	hsa01100	Metabolic pathways
5162	PDHB	hsa01200	Carbon metabolism
5162	PDHB	hsa04066	HIF-1 signaling pathway
5162	PDHB	hsa04922	Glucagon signaling pathway
5162	PDHB	hsa05230	Central carbon metabolism in cancer
5211	PFKL	hsa00010	Glycolysis / Gluconeogenesis
5211	PFKL	hsa00030	Pentose phosphate pathway
5211	PFKL	hsa00051	Fructose and mannose metabolism
5211	PFKL	hsa00052	Galactose metabolism
5211	PFKL	hsa01100	Metabolic pathways
5211	PFKL	hsa01200	Carbon metabolism
5211	PFKL	hsa01230	Biosynthesis of amino acids
5211	PFKL	hsa03018	RNA degradation
5211	PFKL	hsa04066	HIF-1 signaling pathway
5211	PFKL	hsa04152	AMPK signaling pathway
5211	PFKL	hsa04922	Glucagon signaling pathway
5211	PFKL	hsa05230	Central carbon metabolism in cancer
5213	PFKM	hsa00010	Glycolysis / Gluconeogenesis
5213	PFKM	hsa00030	Pentose phosphate pathway
5213	PFKM	hsa00051	Fructose and mannose metabolism
5213	PFKM	hsa00052	Galactose metabolism
5213	PFKM	hsa01100	Metabolic pathways
5213	PFKM	hsa01200	Carbon metabolism
5213	PFKM	hsa01230	Biosynthesis of amino acids
5213	PFKM	hsa03018	RNA degradation
5213	PFKM	hsa04066	HIF-1 signaling pathway
5213	PFKM	hsa04152	AMPK signaling pathway
5213	PFKM	hsa04922	Glucagon signaling pathway
5213	PFKM	hsa05230	Central carbon metabolism in cancer
5214	PFKP	hsa00010	Glycolysis / Gluconeogenesis
5214	PFKP	hsa00030	Pentose phosphate pathway
5214	PFKP	hsa00051	Fructose and mannose metabolism
5214	PFKP	hsa00052	Galactose metabolism
5214	PFKP	hsa01100	Metabolic pathways
5214	PFKP	hsa01200	Carbon metabolism
5214	PFKP	hsa01230	Biosynthesis of amino acids
5214	PFKP	hsa03018	RNA degradation
5214	PFKP	hsa04066	HIF-1 signaling pathway
5214	PFKP	hsa04152	AMPK signaling pathway
5214	PFKP	hsa04919	Thyroid hormone signaling pathway
5214	PFKP	hsa04922	Glucagon signaling pathway
5214	PFKP	hsa05230	Central carbon metabolism in cancer
5223	PGAM1	hsa00010	Glycolysis / Gluconeogenesis
5223	PGAM1	hsa00260	Glycine, serine and threonine metabolism
5223	PGAM1	hsa01100	Metabolic pathways
5223	PGAM1	hsa01200	Carbon metabolism
5223	PGAM1	hsa01230	Biosynthesis of amino acids
5223	PGAM1	hsa04922	Glucagon signaling pathway
5223	PGAM1	hsa05230	Central carbon metabolism in cancer
5224	PGAM2	hsa00010	Glycolysis / Gluconeogenesis
5224	PGAM2	hsa00260	Glycine, serine and threonine metabolism
5224	PGAM2	hsa01100	Metabolic pathways
5224	PGAM2	hsa01200	Carbon metabolism
5224	PGAM2	hsa01230	Biosynthesis of amino acids
5224	PGAM2	hsa04922	Glucagon signaling pathway
5224	PGAM2	hsa05230	Central carbon metabolism in cancer
5230	PGK1	hsa00010	Glycolysis / Gluconeogenesis
5230	PGK1	hsa01100	Metabolic pathways
5230	PGK1	hsa01200	Carbon metabolism
5230	PGK1	hsa01230	Biosynthesis of amino acids
5230	PGK1	hsa04066	HIF-1 signaling pathway
5232	PGK2	hsa00010	Glycolysis / Gluconeogenesis
5232	PGK2	hsa01100	Metabolic pathways
5232	PGK2	hsa01200	Carbon metabolism
5232	PGK2	hsa01230	Biosynthesis of amino acids
5232	PGK2	hsa04066	HIF-1 signaling pathway
5236	PGM1	hsa00010	Glycolysis / Gluconeogenesis
5236	PGM1	hsa00030	Pentose phosphate pathway
5236	PGM1	hsa00052	Galactose metabolism
5236	PGM1	hsa00230	Purine metabolism
5236	PGM1	hsa00500	Starch and sucrose metabolism
5236	PGM1	hsa00520	Amino sugar and nucleotide sugar metabolism
5236	PGM1	hsa01100	Metabolic pathways
5313	PKLR	hsa00010	Glycolysis / Gluconeogenesis
5313	PKLR	hsa00230	Purine metabolism
5313	PKLR	hsa00620	Pyruvate metabolism
5313	PKLR	hsa01100	Metabolic pathways
5313	PKLR	hsa01200	Carbon metabolism
5313	PKLR	hsa01230	Biosynthesis of amino acids
5313	PKLR	hsa04910	Insulin signaling pathway
5313	PKLR	hsa04930	Type II diabetes mellitus
5313	PKLR	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
5313	PKLR	hsa04950	Maturity onset diabetes of the young
5315	PKM	hsa00010	Glycolysis / Gluconeogenesis
5315	PKM	hsa00230	Purine metabolism
5315	PKM	hsa00620	Pyruvate metabolism
5315	PKM	hsa01100	Metabolic pathways
5315	PKM	hsa01200	Carbon metabolism
5315	PKM	hsa01230	Biosynthesis of amino acids
5315	PKM	hsa04922	Glucagon signaling pathway
5315	PKM	hsa04930	Type II diabetes mellitus
5315	PKM	hsa05165	Human papillomavirus infection
5315	PKM	hsa05203	Viral carcinogenesis
5315	PKM	hsa05230	Central carbon metabolism in cancer
55276	PGM2	hsa00010	Glycolysis / Gluconeogenesis
55276	PGM2	hsa00030	Pentose phosphate pathway
55276	PGM2	hsa00052	Galactose metabolism
55276	PGM2	hsa00230	Purine metabolism
55276	PGM2	hsa00500	Starch and sucrose metabolism
55276	PGM2	hsa00520	Amino sugar and nucleotide sugar metabolism
55276	PGM2	hsa01100	Metabolic pathways
55902	ACSS2	hsa00010	Glycolysis / Gluconeogenesis
55902	ACSS2	hsa00620	Pyruvate metabolism
55902	ACSS2	hsa00630	Glyoxylate and dicarboxylate metabolism
55902	ACSS2	hsa00640	Propanoate metabolism
55902	ACSS2	hsa01100	Metabolic pathways
55902	ACSS2	hsa01200	Carbon metabolism
57818	G6PC2	hsa00010	Glycolysis / Gluconeogenesis
57818	G6PC2	hsa00052	Galactose metabolism
57818	G6PC2	hsa00500	Starch and sucrose metabolism
57818	G6PC2	hsa01100	Metabolic pathways
57818	G6PC2	hsa04068	FoxO signaling pathway
57818	G6PC2	hsa04151	PI3K-Akt signaling pathway
57818	G6PC2	hsa04152	AMPK signaling pathway
57818	G6PC2	hsa04910	Insulin signaling pathway
57818	G6PC2	hsa04920	Adipocytokine signaling pathway
57818	G6PC2	hsa04922	Glucagon signaling pathway
57818	G6PC2	hsa04931	Insulin resistance
57818	G6PC2	hsa04973	Carbohydrate digestion and absorption
669	BPGM	hsa00010	Glycolysis / Gluconeogenesis
669	BPGM	hsa00260	Glycine, serine and threonine metabolism
669	BPGM	hsa01100	Metabolic pathways
7167	TPI1	hsa00010	Glycolysis / Gluconeogenesis
7167	TPI1	hsa00051	Fructose and mannose metabolism
7167	TPI1	hsa00562	Inositol phosphate metabolism
7167	TPI1	hsa01100	Metabolic pathways
7167	TPI1	hsa01200	Carbon metabolism
